# 片1·良心面试 · 原片台词 100% 抄写对齐表

原片时长 286.13s → 20 镜 × 14.31s 覆盖窗；逐词 1534 个，原文 1696 字。

**逐字完整性**：拼接结果与原转写完全一致 ✓（1696 / 1696 字）

| 镜 | 生成窗 | 原片时间窗 | 字数 | 原文（逐字） |
| --- | --- | --- | --- | --- |
| 1 | 0.0–15.0s | 0:00.00–0:14.31 | 72 | 有没有人啊扶我一把顾董您慢点别真摔着别出来今天来面试的人都从这后门进我就看看他们见到一个摔倒的老人是扶一把还是踩一脚哎呦年轻人帮帮忙我从轮椅上摔 |
| 2 | 15.0–30.0s | 0:14.31–0:28.61 | 95 | 下来了你干什么呢年轻人我轮椅翻了能不能扶我一把我今天来面试主管港你别当我前途帮我叫一下保安也行你这种老人我见多了我要是因为你错过面试你赔得起吗顾董第一个还要让他进面试吗不用了怕单则可以理解但 |
| 3 | 30.0–45.0s | 0:28.61–0:42.92 | 90 | 连一句求助都不愿意听完这样的人进了公司也只会踩着别人往上爬这什么味啊姑娘能不能扶我一下我从轮椅上摔下来了穿成这样怎么混到后门来的我腿不方便轮椅滑了一下麻烦你搭把手搭把手我今天是来面 |
| 4 | 45.0–60.0s | 0:42.92–0:57.23 | 101 | 试行政经理的我早上没吃饭有点头晕你帮我叫一下保安也行你饿关我什么事公司不是救助还有公司连后门都管不好姑娘说话不用这么难听我已经够客气了赶紧保安把你弄走别影响面试心情顾董第二个也不用进了吧今天的面试已经结 |
| 5 | 60.0–75.0s | 0:57.23–1:11.53 | 74 | 束一半了大爷您怎么摔地上了轮椅滑了我起不来您先别急有没有摔到头手能动吗头没事就是没力气你手上都是灰早上吃饭了吗没顾上吃饿得有点发晕那可不行老人家最怕 |
| 6 | 75.0–90.0s | 1:11.53–1:25.84 | 62 | 饿着我带了中午饭您先吃几口电点这不是你的午饭吗我吃了你怎么办我家离这边远中午回不去您别嫌弃先吃点热乎的这排骨软烂颜色也红亮你 |
| 7 | 90.0–105.0s | 1:25.84–1:40.15 | 89 | 自己做的是我自己做的但真不是我厨艺多厉害是这个爆汁红烧酱料太省事排骨焯水后放电饭锅倒一包酱料加半碗水按煮饭键就行电饭锅能做成这样确实不简单你不怕扶我耽误面试面试迟到可以解释人摔在 |
| 8 | 105.0–120.0s | 1:40.15–1:54.45 | 87 | 地上没人管出事就来不及了大爷您要是不舒服别一个人在后门待着我进去帮您找人好姑娘你先进去今天这个主管港我势在必得这种大公司最需要我这种懂形象管理的人不好意思我刚才在后门扶雷摔倒 |
| 9 | 120.0–135.0s | 1:54.45–2:08.76 | 80 | 的大爷所以耽误了几分钟来面试还多管闲事难怪迟到老人摔倒了不先确认情况难道看着他躺在地上吗他怎么进来了各位这位是故事食品集团董事长顾怀山顾董董事长顾董我刚才不知道 |
| 10 | 135.0–150.0s | 2:08.76–2:23.07 | 80 | 是您不知道我是董事长嫌我影响公司形象我只是今天敢面试太紧张了一个人最真实的样子往往就在没人知道他身份的时候二位今天的面试到此结束顾董再给我一次机会吧顾董我学历很 |
