镜号,开始,结束,时长,字数,台词,句号
1,0.0,3.333,3.333,10,妈妈我吃不下三个月9,1
2,3.333,4.583,1.25,5,个厨师我女,1
3,4.583,5.333,0.75,3,儿瘦了,1
4,5.333,7.583,2.25,9,四斤小孩子挑十2已,1
5,7.583,10.167,2.584,10,在厨师头上指水这些东,"1,2"
6,10.167,15.5,5.333,22,西我看着都没胃口何况一个六岁的孩子顾总消消气,"2,3"
7,15.5,17.75,2.25,9,我这就重新安排我亲,3
8,17.75,19.5,1.75,7,自把关你把关上,3
9,19.5,20.417,0.917,4,一个也是,3
10,20.417,22.667,2.25,9,你把的关乖妈妈重新,"3,4"
11,22.667,23.667,1.0,3,招人嗯,"4,5"
12,23.667,25.333,1.666,4,我花风行,5
13,25.333,26.917,1.584,5,万里飞过小,"5,6"
14,26.917,28.167,1.25,4,朋友小朋,6
15,28.167,29.25,1.083,4,友慢点你,6
16,29.25,30.667,1.417,4,小狗小狗,6
17,30.667,31.917,1.25,5,狗的哥哥你,6
18,31.917,33.75,1.833,5,做的饭也这,6
19,33.75,36.083,2.333,8,么好吃吗比须好吃,"6,7"
20,36.083,37.5,1.417,6,100倍当的,"7,8"
21,37.5,38.583,1.083,4,我的小祖,8
22,38.583,40.083,1.5,6,宗又偷跑出来,8
23,40.083,41.5,1.417,6,谢谢你小伙子,8
24,41.5,42.417,0.917,4,谢谢你周,8
25,42.417,46.167,3.75,19,妈这个哥哥说他做饭比这个饼好吃100倍,8
26,46.167,48,1.833,6,小伙子你你是,9
27,48,49.333,1.333,6,厨师今天顾总,9
28,49.333,50.75,1.417,6,面试厨师你带,9
29,50.75,52.583,1.833,3,我去吧,9
30,52.583,54.333,1.75,3,你就是,10
31,54.333,56.75,2.417,10,哪位没在名单上啊迟到,10
32,56.75,57.917,1.167,5,了抱歉住上,10
33,57.917,59.083,1.166,6,我说小伙子你,11
34,59.083,59.833,0.75,3,知道这,11
35,59.833,61.833,2.0,9,是什么地方就这身行,"11,12"
36,61.833,63.083,1.25,5,头门口保安,12
37,63.083,65.333,2.25,9,没拦你哟刘管事这是,"12,13"
38,65.333,66.667,1.334,6,从哪儿捡来的,13
39,66.667,68,1.333,5,来面试主厨,14
40,68,69.167,1.167,6,的小兄弟主厨,14
41,69.167,71.75,2.583,11,那个位置不是路边摊炒个,14
42,71.75,73.167,1.417,6,蛋炒饭就能做,14
43,73.167,74.833,1.666,7,的算了正好后厨,14
44,74.833,75.75,0.917,4,狗粮碗还,14
45,75.75,79,3.25,14,没人洗他是救我的哥哥你们不许,"14,15"
46,79,80.833,1.833,6,欺负他小小姐,15
47,80.833,81.833,1.0,5,大人的事他,15
48,81.833,84.333,2.5,12,给我吃了饼我就不饿了你们,15
49,84.333,87.833,3.5,17,谁给过我小孩子懂什么一块饼就暖暖晕,15
50,87.833,89.5,1.667,7,在外面谁发现的,15
51,89.5,90.333,0.833,4,是这位小,15
52,90.333,91.25,0.917,7,才迟到20分钟,15
53,91.25,95,3.75,15,因为蹲在路边把我女儿从地上扶起,15
54,95,97.333,2.333,11,来你呢我女儿偷跑出去你,"15,16"
55,97.333,98.833,1.5,6,知道吗我你呢,"16,17"
56,98.833,100.583,1.75,8,我女儿饿到晕倒你,18
57,100.583,103.667,3.084,12,这个主厨三个月让她吃下过,18
58,103.667,105.167,1.5,6,几口饭你们两,18
59,105.167,108.417,3.25,16,个拿着我开的工资连他一块饼都不熟,18
60,108.417,109.417,1.0,5,你会做饭会,18
61,109.417,110.167,0.75,4,去厨房做,18
62,110.167,111.083,0.916,5,一顿给我女,18
63,111.083,114.333,3.25,16,儿吃她吃你留她不吃你也走我操你个,18
64,114.333,115.5,1.167,6,来路不明的人,18
65,115.5,117,1.5,8,连身份都没你查了,18
66,117,120.167,3.167,16,九个厨师的身份我女儿瘦了四斤还有,18
67,120.167,121.583,1.416,7,什么要查的你平,"18,19"
68,121.583,123,1.417,6,时最不想吃什,19
69,123,125.5,2.5,11,么太油的太咸的黏黏糊糊,19
70,125.5,126.333,0.833,4,的就半年,19
71,126.333,127,0.667,3,了加到,19
72,127,129.083,2.083,9,碗里也不动上个月瘦,19
73,129.083,130.417,1.334,6,了快两斤哥哥,"19,20"
74,130.417,133.333,2.916,13,做三道菜你帮我尝不好吃你直,20
75,133.333,134.5,1.167,5,接说不许客,20
76,134.5,137.333,2.833,5,气来公大哥,"20,21"
77,137.333,138.583,1.25,0,,
78,138.583,141.167,2.584,8,就这三样连个帮厨,22
79,141.167,143.333,2.166,9,都不带我倒要看看你,22
80,143.333,144.25,0.917,2,怎么,22
81,144.25,145.583,1.333,0,,
82,145.583,147.167,1.584,7,就就这倒一包现,22
83,147.167,151,3.833,19,成的酱就叫做菜哎呦那我回家让我妈也来面,"22,23"
84,151,154.25,3.25,16,试算了年轻人啊顾家的厨房不是你家,"23,24"
85,154.25,156.333,2.083,10,厨房拿包料理包来糊弄,24
86,156.333,157.583,1.25,0,,
87,157.583,158.833,1.25,0,,
88,158.833,159.833,1.0,0,,
89,159.833,162.417,2.584,1,不,25
90,162.417,165.75,3.333,15,放油不放盐连连料酒都不搁不用完,"25,26"
91,165.75,166.75,1.0,5,了这是来砸,26
92,166.75,171.25,4.5,19,场子的吧一包酱倒进去就等着这也叫厨师我,"26,27,28"
93,171.25,172.75,1.5,7,学了15年颠勺,28
94,172.75,173.667,0.917,4,合着不如,28
95,173.667,174.75,1.083,4,一包酱好,28
96,174.75,176.667,1.917,5,香香有什么,28
97,176.667,178.667,2.0,5,用好不好吃,"28,29"
98,178.667,180,1.333,2,令说,30
99,180,180.917,0.917,0,,
100,180.917,181.833,0.916,0,,
101,181.833,183,1.167,0,,
102,183,184.833,1.833,1,哥,31
103,184.833,188.167,3.334,5,哥可以吃了,31
104,188.167,191.417,3.25,3,吗嗯好,"31,32"
105,191.417,195,3.583,12,吃好好吃这个也好吃这个也,32
106,195,196.333,1.333,4,好吃半年,"32,33"
107,196.333,197.667,1.334,4,了半年了,33
108,197.667,199,1.333,5,都没自己动,33
109,199,200,1,3,过筷子,33
110,200,202.167,2.167,5,楠奶你快吃,34
111,202.167,204.417,2.25,2,留下,35
112,204.417,206.25,1.833,10,明天开始三餐顾总资质,35
113,206.25,207.25,1.0,5,还没你的规,35
114,207.25,209.833,2.583,13,矩管出来九个不合格的还想管,35
115,209.833,213.417,3.584,12,第十个一包现成的酱倒进去,"35,36"
116,213.417,215.417,2.0,8,配赵叔叔你做的鱼,36
117,215.417,217.667,2.25,5,腥我活了大,"36,37"
118,217.667,218.917,1.25,7,半辈子头回见做,37
119,218.917,221.917,3.0,18,红烧菜不放油不放盐的一包酱倒进去就这,37
120,221.917,223.5,1.583,9,味儿里面有真正的鲍,37
121,223.5,226.917,3.417,20,鱼汁打底酱油冰糖香辛料全配好了不用自己调,37
122,226.917,229.083,2.166,13,味不用放油也没有油烟一包就,37
123,229.083,230.333,1.25,7,是一道菜的量刚,37
124,230.333,231.417,1.084,7,刚好那我在家也,"37,38"
125,231.417,232.667,1.25,7,能做周妈连灶都,38
126,232.667,234.833,2.166,13,不用开家里有电饭煲吧肉扔进,38
127,234.833,237.083,2.25,13,去酱倒进去按一下煮饭键好了,38
128,237.083,239.167,2.084,13,它自己会响电饭煲就能做刚才,"38,39"
129,239.167,241.833,2.666,16,这三道菜换电饭煲做味道一模一样不,39
130,241.833,243.5,1.667,9,用看火不用翻锅没有,39
131,243.5,244.5,1.0,6,油烟出来就是,39
132,244.5,246.333,1.833,11,这个味儿这个酱怎么买在,"39,40,41"
133,246.333,249.083,2.75,13,哪买你这张嘴倒是比你那张脸,"41,42"
134,249.083,250,0.917,5,诚实想尝的,42
135,250,252.083,2.083,9,话视频左脚就能下单,42
136,252.083,253.5,1.417,7,先尝尝味道好吃,42
137,253.5,256.75,3.25,15,再说而且现在搞活动9.9块就能,"42,43"
138,256.75,257.833,1.083,6,带走78就是,43
139,257.833,261.417,3.584,16,七八排骨红烧肉鱼还能做鸡翅做豆腐,43
140,261.417,262.917,1.5,3,做茄子,43
141,262.917,264,1.083,4,9块97,43
142,264,266.75,2.75,12,包那一包才一块多钱比我去,43
143,266.75,269.083,2.333,11,菜市场买瓶酱油都便宜而,43
144,269.083,271,1.917,10,且没有味精小孩老人都,43
145,271,274.25,3.25,16,能吃妈妈也吃光了哥哥你看妈妈也吃,"43,44"
146,274.25,275.5,1.25,5,光了真的好,44
147,275.5,284.083,8.583,52,吃的东西不用藏着掖着这个酱我自己也天天用大大方方分享给大家好东西就该让更多人吃到左下角9.9块先试两包不,44
148,284.083,287.917,3.834,14,好吃找我哥哥你明天不会走吧不,"44,45,46"
149,287.917,288.583,0.666,3,会后天,46
150,288.583,289.583,1.0,4,也不会明,"46,47"
151,289.583,292.333,2.75,12,天后天每一天你负责吃饭我,47
152,292.333,293.333,1.0,4,负责做饭,47
153,293.333,294.167,0.834,3,拉钩拉,47
154,294.167,295.583,1.416,5,钩100年,47
155,295.583,297.0,1.417,3,不许变,47
